query_index,num_positives,ru_top1,ru_correct@1,ru_first_positive_rank,ru_positive_negative_margin,aligned_semantic_top1,aligned_semantic_correct@1,aligned_semantic_first_positive_rank,aligned_semantic_positive_negative_margin,wrong_layout_top1,wrong_layout_correct@1,wrong_layout_first_positive_rank,wrong_layout_positive_negative_margin,shuffled_teacher_top1,shuffled_teacher_correct@1,shuffled_teacher_first_positive_rank,shuffled_teacher_positive_negative_margin
0,6,4,1,1,0.1206517219543457,6,0,3,-0.015004336833953857,1065,0,9547,-0.6190871596336365,6192,0,41,-0.07304415106773376
1,7,5674,0,47,-0.109147809445858,12786,0,7,-0.06912633776664734,10201,0,2216,-0.37300029397010803,6457,0,850,-0.2125842124223709
2,12,39,1,1,0.016816169023513794,5138,0,9,-0.09400743246078491,13967,0,5319,-0.5347875952720642,5138,0,11,-0.10631752014160156
3,6,5024,0,3989,-0.11970778554677963,11634,0,2444,-0.27680230140686035,9719,0,4180,-0.36982864141464233,5028,0,2436,-0.30144333839416504
4,7,120,1,1,0.019710659980773926,120,1,1,0.07592588663101196,13279,0,3999,-0.6864196062088013,122,1,1,0.02643674612045288
5,23,133,1,1,0.05445787310600281,4982,0,3972,-0.4407954812049866,3705,0,1025,-0.5602102875709534,6655,0,1076,-0.3160073757171631
6,5,151,1,1,0.09784197807312012,2931,0,89,-0.174280047416687,5823,0,484,-0.4006441831588745,2931,0,161,-0.30188173055648804
7,2,161,1,1,0.027661830186843872,160,0,2,-0.02250272035598755,17515,0,15962,-0.5424975156784058,160,0,2,-0.027549386024475098
8,3,180,1,1,0.16265520453453064,180,1,1,0.04722791910171509,15378,0,1337,-0.3408745229244232,180,1,1,0.1723477840423584
9,7,189,1,1,0.4841592609882355,190,1,1,0.06163835525512695,14670,0,1915,-0.27809131145477295,16957,0,4,-0.00968700647354126
10,8,209,1,1,0.054530709981918335,8237,0,3,-0.06157207489013672,5914,0,1409,-0.26610082387924194,8238,0,2,-0.022706568241119385
11,5,214,1,1,0.1644168496131897,3520,0,67,-0.11988189816474915,3979,0,2432,-0.6180511116981506,7446,0,1337,-0.17018088698387146
12,13,236,1,1,0.2052474319934845,6276,0,3,-0.0873221755027771,15469,0,183,-0.17967212200164795,6274,0,4,-0.10508662462234497
13,14,246,1,1,0.2701359689235687,246,1,1,0.026531875133514404,15621,0,1078,-0.6201758980751038,246,1,1,0.12728530168533325
14,9,258,1,1,0.10054293274879456,263,0,3,-0.05569314956665039,3119,0,1455,-0.4379587173461914,8836,0,3,-0.002064824104309082
15,5,273,1,1,0.07463568449020386,272,1,1,0.055898427963256836,3107,0,7262,-0.7417997121810913,272,1,1,0.0611555278301239
16,30,282,1,1,0.36893683671951294,315,1,1,0.04391294717788696,12621,0,595,-0.22591882944107056,281,1,1,0.06757089495658875
17,42,340,1,1,0.22938835620880127,342,0,3,-0.006973624229431152,6108,0,34,-0.14240264892578125,10306,0,3,-0.025939881801605225
18,41,399,1,1,0.19216272234916687,397,0,5,-0.05369210243225098,16381,0,3,-0.017315149307250977,397,0,4,-0.0800432562828064
19,16,501,1,1,0.15828099846839905,497,1,1,0.01061159372329712,7395,0,4822,-0.521722674369812,4352,0,2,-0.015039920806884766
20,8,532,1,1,0.1403142809867859,540,1,1,0.07030129432678223,4455,0,472,-0.34571483731269836,533,0,2,-0.020184755325317383
21,7,545,1,1,0.32589060068130493,545,1,1,0.13982045650482178,17734,0,283,-0.20061981678009033,545,1,1,0.15713033080101013
