mode,epoch,train_loss,train_batch_r1,holdout_loss,holdout_batch_r1,amp_retries,loss_scale
aligned,1,1.2435,0.7498,1.2281,0.7433,0,65536
aligned,2,1.0770,0.8167,1.1544,0.7781,0,131072
aligned,3,1.0154,0.8393,1.1161,0.7933,0,262144
aligned,4,0.9712,0.8538,1.0870,0.8051,0,262144
aligned,5,0.9437,0.8604,1.0617,0.8131,0,524288
aligned,6,0.9155,0.8679,1.0501,0.8172,1,524288
aligned,7,0.8963,0.8738,1.0329,0.8248,0,524288
aligned,8,0.8760,0.8801,1.0202,0.8269,2,262144
aligned,9,0.8586,0.8838,1.0054,0.8320,0,524288
aligned,10,0.8525,0.8863,1.0029,0.8346,0,524288
shuffled,1,1.5268,0.5035,1.4337,0.5677,0,65536
shuffled,2,1.4284,0.5543,1.3940,0.5933,0,131072
shuffled,3,1.3987,0.5787,1.3657,0.6153,0,262144
shuffled,4,1.3767,0.5988,1.3429,0.6302,0,262144
shuffled,5,1.3566,0.6131,1.3302,0.6405,0,524288
shuffled,6,1.3438,0.6238,1.3154,0.6499,1,524288
shuffled,7,1.3298,0.6341,1.3088,0.6602,0,524288
shuffled,8,1.3171,0.6446,1.2965,0.6651,1,524288
shuffled,9,1.3094,0.6497,1.2863,0.6708,1,262144
shuffled,10,1.2986,0.6566,1.2812,0.6777,0,524288
