group,component,image_count,normalised_entropy_mean,effective_patch_fraction_mean,peak_attention_mean,peak_density_mean,top_10pct_attention_mass_mean,top_20pct_attention_mass_mean,aligned_area_mean,aligned_attention_mass_mean,aligned_micro_enrichment,aligned_macro_eligible_count,aligned_enrichment_p10,aligned_enrichment_p50,aligned_enrichment_p90,shuffled_area_mean,shuffled_attention_mass_mean,shuffled_micro_enrichment,shuffled_macro_eligible_count,shuffled_enrichment_p10,shuffled_enrichment_p50,shuffled_enrichment_p90,random_area_mean,random_attention_mass_mean,random_micro_enrichment,random_macro_eligible_count,random_enrichment_p10,random_enrichment_p50,random_enrichment_p90,aligned_minus_random_mass_mean,aligned_minus_random_micro_enrichment,aligned_minus_shuffled_mass_mean,aligned_minus_shuffled_micro_enrichment
all,layer_1,20565,0.9300391872636947,0.663348941631396,0.01704792544669604,6.819170214733937,0.3314825518473842,0.5214070143677618,0.06302979775742258,0.06432180830870533,1.020498408645625,14808,0.6728652715682983,1.1819702982902527,1.8509507417678834,0.06302979786321249,0.07522624520933197,1.1935028789492272,14808,0.5615368306636811,1.277793288230896,2.1890528440475467,0.06302979782843225,0.06295651685832118,0.9988373599053809,14808,0.7633820056915284,0.9901511371135712,1.2301564812660217,0.0013652914503841519,0.021661048740244104,-0.010904436900626634,-0.17300447030360222
all,layer_2,20565,0.9326791309307534,0.673689820150259,0.016156892457090673,6.462757088521841,0.3251849145515974,0.5143071912194643,0.06302979775742258,0.06330712889881572,1.0044000004959637,14808,0.6616430521011353,1.142279028892517,1.7880473732948305,0.06302979786321249,0.0748070074466786,1.1868514572904876,14808,0.5463266670703888,1.2690455913543701,2.1624669075012206,0.06302979782843225,0.06296339239729846,0.9989464438500257,14808,0.7726634919643403,0.9895161092281342,1.2265049219131474,0.00034373650151725386,0.00545355664593794,-0.011499878547862878,-0.1824514567945239
all,consensus_raw,20565,0.9377256749118589,0.6935169727298542,0.013870151337700809,5.548060493645458,0.3058813078398256,0.49622924330748697,0.06302979775742258,0.06381446878298294,1.0124492074142497,14808,0.6831534385681153,1.1699734926223755,1.791933286190033,0.06302979786321249,0.07501662590484563,1.190177161406213,14808,0.5622094213962555,1.286792814731598,2.1514758110046386,0.06302979782843225,0.06295995464200439,0.9988919021029076,14808,0.785825127363205,0.9920716881752014,1.213578748703003,0.0008545141409785497,0.013557305311342138,-0.011202157121862687,-0.1777279539919634
all,fc_energy_proxy,20565,0.9378561344976817,0.6940977373408367,0.013833928064740026,5.533571214256222,0.305321893082203,0.4955471291554806,0.06302979775742258,0.06375177495458716,1.0114545377401207,14808,0.684879195690155,1.1677559614181519,1.7870906949043277,0.06302979786321249,0.07493653791013959,1.18890652438339,14808,0.5609875023365021,1.2881559133529663,2.147484874725342,0.06302979782843225,0.06295666508942684,0.998839711667734,14808,0.7859182953834534,0.9918033182621002,1.210789716243744,0.0007951098651603252,0.012614826072386731,-0.011184762955552437,-0.17745198664326933
references,layer_1,18871,0.9300969450154521,0.6635766750261102,0.01705376199568962,6.821504835571787,0.3315452809465449,0.521382502156154,0.06348250746003686,0.06457635476281318,1.0172306883666324,13615,0.668206286430359,1.1809108257293701,1.8513264656066897,0.06348250752241785,0.07532189276884106,1.1864983868547145,13615,0.5532435894012452,1.2693244218826294,2.173187589645386,0.06348250753742088,0.06342977690968932,0.9991693675978305,13615,0.764024305343628,0.9902434349060059,1.2308598518371583,0.0011465778531238478,0.01806132076880196,-0.010745538006027892,-0.1692676984880821
references,layer_2,18871,0.9327222801759546,0.6738397544091472,0.01617906511913302,6.471626149534794,0.3252242591762497,0.5142507651141398,0.06348250746003686,0.0635372297627597,1.0008620060062576,13615,0.6589150547981263,1.141720175743103,1.7870989084243776,0.06348250752241785,0.0749851084401097,1.1811932352172743,13615,0.5404856920242309,1.262692928314209,2.15449914932251,0.06348250753742088,0.06342522391964818,0.9990976472103132,13615,0.7727327227592469,0.9897684454917908,1.2271945238113404,0.00011200584311152357,0.0017643587959443874,-0.011447878677349995,-0.18033122921101663
references,consensus_raw,18871,0.9377824809503102,0.6937423593055071,0.013885873476226242,5.554349345715157,0.30592634059951895,0.49616965511747135,0.06348250746003686,0.06405679245493866,1.0090463502132978,13615,0.6803843140602112,1.1696451902389526,1.7902230501174927,0.06348250752241785,0.0751535001528054,1.1838458039211213,13615,0.5536275625228881,1.2799828052520752,2.145282030105591,0.06348250753742088,0.06342750042421529,0.9991335075544524,13615,0.7864498019218444,0.9922382235527039,1.2137986898422242,0.0006292920307233629,0.0099128426588454,-0.01109670769786675,-0.17479945370782346
references,fc_energy_proxy,18871,0.9379150909533795,0.6943316380566137,0.013849005794039996,5.539602317565462,0.305366372943373,0.4954805117925446,0.06348250746003686,0.06399197964023681,1.0080253947202804,13615,0.6809499740600586,1.1675039529800415,1.7857795715332032,0.06348250752241785,0.07507636258588371,1.1826307043616964,13615,0.553048574924469,1.2799850702285767,2.1400387763977053,0.06348250753742088,0.06342297151820381,0.9990621665475016,13615,0.78666672706604,0.9922129511833191,1.2114300966262819,0.0005690081220330037,0.008963228172778837,-0.011084382945646903,-0.17460530964141596
union_queries,layer_1,1694,0.9293957719273663,0.6608120114350122,0.016982906868564757,6.793162761359457,0.330783755326074,0.5216800783713564,0.05798665442918521,0.061486184860908434,1.0603506180201678,1193,0.7310117721557617,1.2001334428787231,1.8440327644348145,0.05798665498336062,0.0741607404655943,1.2789277202983145,1193,0.6842294692993164,1.3694305419921875,2.315494203567505,0.05798665442918521,0.057684444577170375,0.9947882861153181,1193,0.7586573719978332,0.9885166883468628,1.2217453479766842,0.003801740283738061,0.06556233190484972,-0.01267455560468586,-0.21857710227814664
union_queries,layer_2,1694,0.9321984535406443,0.6720195669491711,0.015909891078576287,6.363956584277372,0.3247466191491101,0.5149357732662485,0.05798665442918521,0.060743827007737325,1.0475483989496108,1193,0.6815006852149963,1.1467623710632324,1.8021562099456787,0.05798665498336062,0.07282297927204524,1.2558575640023024,1193,0.6676694035530091,1.3340568542480469,2.2399556636810303,0.05798665442918521,0.05781863287636634,0.9971024099515163,1193,0.772505235671997,0.9845321774482727,1.2210837125778198,0.0029251941313709813,0.05044598899809449,-0.012079152264307917,-0.2083091650526916
