dataset,left,right,left_only_correct,right_only_correct,net_queries,both_correct,both_wrong
msls-val,aligned,baseline,0,1,-1,674,65
msls-val,aligned,zero_bias,0,1,-1,674,65
msls-val,aligned,shuffled,4,1,3,670,65
msls-val,aligned,random,1,1,0,673,65
msls-val-night-full-db,aligned,baseline,0,0,0,49,6
msls-val-night-full-db,aligned,zero_bias,0,0,0,49,6
msls-val-night-full-db,aligned,shuffled,0,0,0,49,6
msls-val-night-full-db,aligned,random,0,0,0,49,6
msls-val-winter2summer-full-db,aligned,baseline,0,0,0,529,57
msls-val-winter2summer-full-db,aligned,zero_bias,0,0,0,529,57
msls-val-winter2summer-full-db,aligned,shuffled,0,2,-2,529,55
msls-val-winter2summer-full-db,aligned,random,0,0,0,529,57
msls-val-summer2winter-full-db,aligned,baseline,0,0,0,347,55
msls-val-summer2winter-full-db,aligned,zero_bias,0,0,0,347,55
msls-val-summer2winter-full-db,aligned,shuffled,0,1,-1,347,54
msls-val-summer2winter-full-db,aligned,random,0,1,-1,347,54
