dataset,variant,beta,num_queries,r@1,delta_vs_baseline_r@1_pp,delta_vs_baseline_r@1_queries,delta_vs_zero_bias_r@1_pp,delta_vs_zero_bias_r@1_queries,r@5,delta_vs_baseline_r@5_pp,delta_vs_baseline_r@5_queries,delta_vs_zero_bias_r@5_pp,delta_vs_zero_bias_r@5_queries,r@10,delta_vs_baseline_r@10_pp,delta_vs_baseline_r@10_queries,delta_vs_zero_bias_r@10_pp,delta_vs_zero_bias_r@10_queries
msls-val,baseline,0.0,740,0.9121621621621622,0.0,0,0.0,0,0.9513513513513514,0.0,0,0.0,0,0.9608108108108108,0.0,0,0.0,0
msls-val,zero_bias,0.0,740,0.9121621621621622,0.0,0,0.0,0,0.9513513513513514,0.0,0,0.0,0,0.9608108108108108,0.0,0,0.0,0
msls-val,aligned,0.5,740,0.9108108108108108,-0.13513513513513375,-1,-0.13513513513513375,-1,0.9513513513513514,0.0,0,0.0,0,0.9608108108108108,0.0,0,0.0,0
msls-val,shuffled,0.5,740,0.9067567567567567,-0.5405405405405461,-4,-0.5405405405405461,-4,0.9513513513513514,0.0,0,0.0,0,0.9608108108108108,0.0,0,0.0,0
msls-val,random,0.5,740,0.9108108108108108,-0.13513513513513375,-1,-0.13513513513513375,-1,0.9527027027027027,0.13513513513513375,1,0.13513513513513375,1,0.9608108108108108,0.0,0,0.0,0
msls-val-night-full-db,baseline,0.0,55,0.8909090909090909,0.0,0,0.0,0,0.9818181818181818,0.0,0,0.0,0,1.0,0.0,0,0.0,0
msls-val-night-full-db,zero_bias,0.0,55,0.8909090909090909,0.0,0,0.0,0,0.9818181818181818,0.0,0,0.0,0,1.0,0.0,0,0.0,0
msls-val-night-full-db,aligned,0.5,55,0.8909090909090909,0.0,0,0.0,0,0.9818181818181818,0.0,0,0.0,0,1.0,0.0,0,0.0,0
msls-val-night-full-db,shuffled,0.5,55,0.8909090909090909,0.0,0,0.0,0,0.9818181818181818,0.0,0,0.0,0,1.0,0.0,0,0.0,0
msls-val-night-full-db,random,0.5,55,0.8909090909090909,0.0,0,0.0,0,0.9818181818181818,0.0,0,0.0,0,1.0,0.0,0,0.0,0
msls-val-winter2summer-full-db,baseline,0.0,586,0.9027303754266212,0.0,0,0.0,0,0.9641638225255973,0.0,0,0.0,0,0.9675767918088737,0.0,0,0.0,0
msls-val-winter2summer-full-db,zero_bias,0.0,586,0.9027303754266212,0.0,0,0.0,0,0.9641638225255973,0.0,0,0.0,0,0.9675767918088737,0.0,0,0.0,0
msls-val-winter2summer-full-db,aligned,0.5,586,0.9027303754266212,0.0,0,0.0,0,0.9641638225255973,0.0,0,0.0,0,0.9675767918088737,0.0,0,0.0,0
msls-val-winter2summer-full-db,shuffled,0.5,586,0.9061433447098977,0.34129692832765013,2,0.34129692832765013,2,0.9641638225255973,0.0,0,0.0,0,0.9675767918088737,0.0,0,0.0,0
msls-val-winter2summer-full-db,random,0.5,586,0.9027303754266212,0.0,0,0.0,0,0.9641638225255973,0.0,0,0.0,0,0.9675767918088737,0.0,0,0.0,0
msls-val-summer2winter-full-db,baseline,0.0,402,0.8631840796019901,0.0,0,0.0,0,0.900497512437811,0.0,0,0.0,0,0.900497512437811,0.0,0,0.0,0
msls-val-summer2winter-full-db,zero_bias,0.0,402,0.8631840796019901,0.0,0,0.0,0,0.900497512437811,0.0,0,0.0,0,0.900497512437811,0.0,0,0.0,0
msls-val-summer2winter-full-db,aligned,0.5,402,0.8631840796019901,0.0,0,0.0,0,0.900497512437811,0.0,0,0.0,0,0.900497512437811,0.0,0,0.0,0
msls-val-summer2winter-full-db,shuffled,0.5,402,0.8656716417910447,0.24875621890546595,1,0.24875621890546595,1,0.900497512437811,0.0,0,0.0,0,0.900497512437811,0.0,0,0.0,0
msls-val-summer2winter-full-db,random,0.5,402,0.8656716417910447,0.24875621890546595,1,0.24875621890546595,1,0.900497512437811,0.0,0,0.0,0,0.900497512437811,0.0,0,0.0,0
