mask,transform,composition,threshold,top_fraction,semantic_disabled,sample_count,aligned_coverage,shuffled_coverage,aligned_zero_active_image,shuffled_zero_active_image,aligned_effective_confidence_mean,shuffled_effective_confidence_mean,aligned_delta_abs_mean,shuffled_delta_abs_mean,aligned_pre_target_std,shuffled_pre_target_std,aligned_target_std,shuffled_target_std,aligned_target_change_from_ru,shuffled_target_change_from_ru,aligned_target_correlation_with_ru,shuffled_target_correlation_with_ru,aligned_saturation_fraction,shuffled_saturation_fraction,pre_transform_pair_difference,target_pair_difference,target_pair_correlation,target_pair_sign_disagreement,pair_difference_amplification,aligned_coverage_min,aligned_coverage_max,shuffled_coverage_min,shuffled_coverage_max,aligned_delta_retained_ratio,shuffled_delta_retained_ratio
semantic_off,per_image_zscore,production_roundtrip,,,True,160,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.41042375564575195,0.41042375564575195,0.7852860689163208,0.7852860689163208,0.10061963647603989,0.10061963647603989,0.9722166061401367,0.9722166061401367,0.3489375114440918,0.3489375114440918,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,per_image_zscore,production_roundtrip,,,False,160,1.0,1.0,0.0,0.0,0.4357421398162842,0.4357420802116394,0.0836159884929657,0.0973600372672081,0.3716135621070862,0.35566604137420654,0.7912911772727966,0.7940549850463867,0.152652308344841,0.16837292909622192,0.9419234991073608,0.9299898147583008,0.3630312383174896,0.3645624816417694,0.047269321978092194,0.08600591868162155,0.9786807298660278,0.046796876937150955,1.9353086948394775,1.0,1.0,1.0,1.0,1.0,1.0
confidence_ge_0.5,per_image_zscore,production_roundtrip,0.5,,False,160,0.29693877696990967,0.29693877696990967,0.0,0.0,0.1794123351573944,0.1794123351573944,0.03348054736852646,0.03832286596298218,0.39613690972328186,0.39153727889060974,0.7877075672149658,0.7881131768226624,0.12138472497463226,0.12779369950294495,0.960495114326477,0.9560822248458862,0.353578120470047,0.3525781035423279,0.03574812784790993,0.06125201657414436,0.9864686131477356,0.03356250002980232,1.805193305015564,0.11224489659070969,0.5408163070678711,0.11224489659070969,0.5408163070678711,0.4004084382898021,0.3936200831333261
confidence_ge_0.6,per_image_zscore,production_roundtrip,0.6,,False,160,0.12643495202064514,0.12643493711948395,0.0,0.0,0.08654385060071945,0.08654385060071945,0.01666915789246559,0.018473995849490166,0.4030894637107849,0.4026980400085449,0.7864588499069214,0.786384642124176,0.1105596199631691,0.1134101003408432,0.966605544090271,0.9646788835525513,0.3508906364440918,0.3503125011920929,0.02203122340142727,0.03922209143638611,0.992368221282959,0.021828124299645424,1.8820831775665283,0.030612245202064514,0.2602040767669678,0.030612245202064514,0.2602040767669678,0.19935371443785427,0.18974926846820758
confidence_ge_0.7,per_image_zscore,production_roundtrip,0.7,,False,160,0.04381377622485161,0.04381377622485161,0.01875000074505806,0.01875000074505806,0.03344539552927017,0.03344539552927017,0.006460013333708048,0.007333518471568823,0.40807804465293884,0.4075470566749573,0.785338819026947,0.7854840159416199,0.10436026006937027,0.10522317886352539,0.9700954556465149,0.969637393951416,0.3494218587875366,0.34889063239097595,0.00971793569624424,0.018936162814497948,0.9970607757568359,0.009609375149011612,2.138251781463623,0.0,0.12244898080825806,0.0,0.12244898080825806,0.07725811115958409,0.07532370238768211
top_20pct_per_image,per_image_zscore,production_roundtrip,,0.2,False,160,0.20408162474632263,0.20408162474632263,0.0,0.0,0.12939545512199402,0.12939545512199402,0.02480357326567173,0.0275593101978302,0.39983394742012024,0.39738401770591736,0.7865557074546814,0.7871189713478088,0.1157950609922409,0.11958657205104828,0.9638005495071411,0.961349368095398,0.35224997997283936,0.35117191076278687,0.029475251212716103,0.050610266625881195,0.9895966649055481,0.028171872720122337,1.8169634342193604,0.20408163964748383,0.20408163964748383,0.20408163964748383,0.20408163964748383,0.2966367283663502,0.283065937230413
semantic_off,shared_base,production_roundtrip,,,True,160,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.41042375564575195,0.41042375564575195,0.7434267401695251,0.7434267401695251,0.09836594015359879,0.09836594015359879,0.9737381935119629,0.9737381935119629,0.2758124768733978,0.2758124768733978,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense,shared_base,production_roundtrip,,,False,160,1.0,1.0,0.0,0.0,0.4357421398162842,0.4357420802116394,0.0836159884929657,0.0973600372672081,0.3716135621070862,0.35566604137420654,0.7256938815116882,0.7178264856338501,0.15084004402160645,0.1671788990497589,0.945690929889679,0.9345470666885376,0.2427343875169754,0.2256718873977661,0.047269321978092194,0.08072607219219208,0.9810603260993958,0.04742187634110451,1.7886455059051514,1.0,1.0,1.0,1.0,1.0,1.0
confidence_ge_0.5,shared_base,production_roundtrip,0.5,,False,160,0.29693877696990967,0.29693877696990967,0.0,0.0,0.1794123351573944,0.1794123351573944,0.03348054736852646,0.03832286596298218,0.39613690972328186,0.39153727889060974,0.7375399470329285,0.7354511618614197,0.11902444064617157,0.12533633410930634,0.962820827960968,0.9586095809936523,0.26407814025878906,0.25837498903274536,0.03574812784790993,0.05707620456814766,0.9877630472183228,0.03276562690734863,1.6641814708709717,0.11224489659070969,0.5408163070678711,0.11224489659070969,0.5408163070678711,0.4004084382898021,0.3936200831333261
confidence_ge_0.6,shared_base,production_roundtrip,0.6,,False,160,0.12643495202064514,0.12643493711948395,0.0,0.0,0.08654385060071945,0.08654385060071945,0.01666915789246559,0.018473995849490166,0.4030894637107849,0.4026980400085449,0.7405997514724731,0.7401734590530396,0.10831081867218018,0.11096074432134628,0.9684917330741882,0.9666366577148438,0.26992183923721313,0.2684374749660492,0.02203122340142727,0.03485497087240219,0.9930728077888489,0.020609375089406967,1.6525224447250366,0.030612245202064514,0.2602040767669678,0.030612245202064514,0.2602040767669678,0.19935371443785427,0.18974926846820758
