flat_index,place_index,view_index,place_label,donor_flat_index,donor_place_index,donor_place_label,latitude,longitude,year,month,heading,aligned_confidence_mean,shuffled_confidence_mean,aligned_delta_mean,aligned_delta_abs_mean,aligned_delta_abs_max,shuffled_delta_mean,shuffled_delta_abs_mean,shuffled_delta_abs_max,delta_abs_difference_mean,delta_abs_difference_max,target_abs_difference_mean,target_spatial_correlation,aligned_target_std,shuffled_target_std,selected,selection_reason
0,0,0,1189,156,39,854,6.252649637352291,-75.58542611180177,2013.0,8.0,85.0,0.43406522274017334,0.4097015857696533,0.0038620848208665848,0.07265962660312653,0.5412244200706482,5.6133281759684905e-05,0.07977915555238724,0.7826591730117798,0.07431422173976898,0.5927515029907227,0.09078775346279144,0.9692592024803162,0.8092325329780579,0.8022893071174622,False,
1,0,1,1189,157,39,854,6.252633358490825,-75.58543863752571,2015.0,9.0,104.0,0.43906262516975403,0.4366903603076935,0.004820613656193018,0.08168405294418335,0.48531797528266907,-0.006125552114099264,0.09192288666963577,0.6629533767700195,0.08691021054983139,0.4613754153251648,0.08622583746910095,0.9838757514953613,0.8254468441009521,0.8365623950958252,False,
2,0,2,1189,158,39,854,6.252659555402054,-75.58536198710352,2014.0,1.0,87.0,0.40396490693092346,0.39837926626205444,-0.0022837428841739893,0.07656288892030716,0.48603564500808716,-0.008805694989860058,0.10055246949195862,0.6014701724052429,0.08393494039773941,0.5393964052200317,0.05316685512661934,0.9938648343086243,0.8044835925102234,0.8228947520256042,False,
3,0,3,1189,159,39,854,6.25262925841031,-75.58543490325638,2016.0,3.0,106.0,0.4022901952266693,0.4287445545196533,0.010632283985614777,0.08981101214885712,0.46037566661834717,0.007782327942550182,0.1183357909321785,0.8957502841949463,0.10155396908521652,0.7569615244865417,0.0781281441450119,0.9864707589149475,0.8008736968040466,0.8120720982551575,False,
4,1,0,880,0,0,1189,6.24684463340343,-75.57647113011028,2015.0,9.0,546.0,0.4618692100048065,0.43406522274017334,0.003345541190356016,0.07360810041427612,0.5591114163398743,0.0019365207990631461,0.08053106814622879,0.479021281003952,0.08235786110162735,0.6302962303161621,0.09262920171022415,0.9677683711051941,0.7129579782485962,0.719262957572937,False,
5,1,1,880,1,0,1189,6.246847793744118,-75.57647316635779,2018.0,11.0,558.0,0.44712984561920166,0.43906262516975403,0.00037170384894125164,0.08276806771755219,0.42675065994262695,0.007387344725430012,0.08958730846643448,0.5891671180725098,0.07844561338424683,0.42735111713409424,0.09949783980846405,0.9705440402030945,0.8047417402267456,0.8014088273048401,False,
6,1,2,880,2,0,1189,6.246823851997748,-75.57649592397681,2019.0,6.0,550.0,0.4653376340866089,0.40396490693092346,0.0033662954811006784,0.08654255419969559,0.513688862323761,0.007113282568752766,0.09371317923069,0.6041868329048157,0.0876460000872612,0.6120660901069641,0.09015077352523804,0.9785135388374329,0.7761812806129456,0.7612171769142151,False,
7,1,3,880,3,0,1189,6.246844085608356,-75.57647155652008,2016.0,3.0,567.0,0.4608272612094879,0.4022901952266693,0.0023263590410351753,0.08315623551607132,0.5362924337387085,0.01248383242636919,0.07868057489395142,0.5770713686943054,0.07768528163433075,0.4966895282268524,0.06132611259818077,0.9892607927322388,0.8116002678871155,0.8192474842071533,False,
8,2,0,909,4,1,880,6.248040044281433,-75.60041425836373,2019.0,3.0,382.0,0.38860151171684265,0.4618692100048065,0.023356882855296135,0.13488750159740448,0.6737043261528015,0.0070897904224693775,0.1603522002696991,0.8775089979171753,0.1442868560552597,0.7107465267181396,0.11306824535131454,0.9669669270515442,0.7602851390838623,0.7654460668563843,True,top_aligned_delta
9,2,1,909,5,1,880,6.248054057514009,-75.60041881004608,2015.0,1.0,570.0,0.38077062368392944,0.44712984561920166,0.019796403124928474,0.12261290103197098,0.8073046803474426,0.015201508067548275,0.13837487995624542,0.6771702170372009,0.12682798504829407,0.8508137464523315,0.09625311195850372,0.9794238805770874,0.7840811610221863,0.7897037863731384,False,
10,2,2,909,6,1,880,6.248074301222723,-75.60043030635228,2015.0,9.0,548.0,0.3998434841632843,0.4653376340866089,0.029001129791140556,0.12508301436901093,0.6385862231254578,0.022975029423832893,0.16615593433380127,0.7939101457595825,0.14306634664535522,0.9104288220405579,0.11886096745729446,0.9656840562820435,0.7723492383956909,0.779994547367096,False,
11,2,3,909,7,1,880,6.248070302074329,-75.60043015908799,2013.0,6.0,553.0,0.37551817297935486,0.4608272612094879,0.02207851968705654,0.11622502654790878,0.8618620038032532,0.01274891011416912,0.1853521317243576,1.142305850982666,0.15369245409965515,1.0245022773742676,0.0833166092634201,0.982183575630188,0.8336294293403625,0.8350854516029358,False,
12,3,0,285,8,2,909,6.236160337908933,-75.58842791584337,2015.0,9.0,433.0,0.4608882963657379,0.38860151171684265,-0.0049748495221138,0.10558488219976425,0.8531768321990967,0.007746500428766012,0.09491012245416641,0.4492494761943817,0.08090867102146149,0.6875195503234863,0.09363410621881485,0.9735881686210632,0.8229436278343201,0.8188332319259644,False,
13,3,1,285,9,2,909,6.236182317477206,-75.58843359131919,2013.0,6.0,606.0,0.42260897159576416,0.38077062368392944,0.0009613223373889923,0.07624587416648865,0.4992636740207672,0.01107486430555582,0.06890638917684555,0.46895724534988403,0.06738828867673874,0.4102369546890259,0.055442627519369125,0.9904006123542786,0.8070026636123657,0.8103656768798828,False,
14,3,2,285,10,2,909,6.236183093237894,-75.58843772944266,2016.0,3.0,603.0,0.4283459782600403,0.3998434841632843,-0.0007800084422342479,0.08119753748178482,0.48346325755119324,0.009738579392433167,0.07959341257810593,0.711411714553833,0.07966572046279907,0.6970536112785339,0.06198706105351448,0.9876074194908142,0.8446396589279175,0.834385097026825,False,
15,3,3,285,11,2,909,6.236182190217581,-75.58845522293561,2019.0,6.0,607.0,0.42525187134742737,0.37551817297935486,-0.007250633556395769,0.08008287847042084,0.5916359424591064,0.0027913094963878393,0.0707581490278244,0.33588290214538574,0.07029702514410019,0.5015754103660583,0.07512825727462769,0.9845750331878662,0.7999107241630554,0.8044970035552979,False,
16,4,0,748,12,3,285,6.245136022119746,-75.60246112285053,2013.0,6.0,429.0,0.45692598819732666,0.4608882963657379,0.020496970042586327,0.1534121036529541,1.0655649900436401,0.00825595110654831,0.16986912488937378,0.8501446843147278,0.15701039135456085,1.020444631576538,0.12888656556606293,0.9512082934379578,0.7334344387054443,0.7315357327461243,True,top_aligned_delta
17,4,1,748,13,3,285,6.245131365260678,-75.6024331034905,2014.0,4.0,418.0,0.48806700110435486,0.42260897159576416,0.008840326219797134,0.10305960476398468,0.518415629863739,0.0022472613491117954,0.13946694135665894,1.9266676902770996,0.13580110669136047,2.019890546798706,0.0637640729546547,0.988825798034668,0.8111675977706909,0.8241367936134338,False,
18,4,2,748,14,3,285,6.245140635274516,-75.60242649387592,2016.0,3.0,432.0,0.48483213782310486,0.4283459782600403,0.006541665643453598,0.14671088755130768,2.284724235534668,0.008023381233215332,0.12659914791584015,1.201350212097168,0.1492612659931183,2.061190128326416,0.11363769322633743,0.9596930146217346,0.7857218980789185,0.7824506163597107,True,top_aligned_delta
19,4,3,748,15,3,285,6.245141499404373,-75.60245636351866,2019.0,3.0,431.0,0.46262842416763306,0.42525187134742737,0.0012752820039168,0.09699501097202301,0.5149413347244263,-0.0037288169842213392,0.1099848821759224,0.6085907220840454,0.10416275262832642,0.6583876013755798,0.08331166952848434,0.9814287424087524,0.8558241724967957,0.8594869375228882,False,
20,5,0,1059,16,4,748,6.249952923472931,-75.55643736803691,2019.0,4.0,336.0,0.4310533106327057,0.45692598819732666,0.0085835549980402,0.0707339495420456,0.47950050234794617,0.0026348112151026726,0.09582599252462387,0.7954823970794678,0.09547459334135056,0.9388217926025391,0.11578992009162903,0.9655665755271912,0.7109880447387695,0.7122076749801636,False,
21,5,1,1059,17,4,748,6.249958436884901,-75.55643332999085,2018.0,12.0,348.0,0.43757784366607666,0.48806700110435486,0.004024319350719452,0.07550275325775146,0.8526879549026489,-3.236106567783281e-05,0.10170096904039383,0.857954740524292,0.09291578829288483,0.7978662848472595,0.12908360362052917,0.9453766345977783,0.7153236269950867,0.7365796566009521,False,
22,5,2,1059,18,4,748,6.24995952293084,-75.55643692756328,2014.0,4.0,331.0,0.42623528838157654,0.48483213782310486,0.0037784737069159746,0.06390664726495743,0.9017874002456665,0.006122722756117582,0.09381255507469177,1.3239635229110718,0.08699598908424377,1.1400703191757202,0.06963053345680237,0.9889525771141052,0.7460314035415649,0.7405896782875061,False,
23,5,3,1059,19,4,748,6.249967565022656,-75.55647913173733,2013.0,10.0,352.0,0.42340460419654846,0.46262842416763306,0.002761802403256297,0.07337559759616852,0.46915343403816223,-0.009027143009006977,0.12564435601234436,1.0243464708328247,0.12477651238441467,0.8972163796424866,0.13339528441429138,0.9584885239601135,0.7264255881309509,0.7528322339057922,False,
